date,close,high,low,open,volume
2010/7/30,19.34940338,19.66105444,18.59335615,19.00312125,5208000
2010/8/2,19.92846298,20.16508815,19.48214695,19.68606743,4826400
2010/8/3,19.72646332,19.94385092,19.68029149,19.94385092,4279500
2010/8/4,19.83996391,19.93038117,19.5552428,19.75146865,2982300
2010/8/5,19.77647591,19.79763762,19.62449771,19.63604066,2454900
2010/8/6,19.7572422,19.86689699,19.38018182,19.6264257,3145200
2010/8/9,20.05351067,20.05351067,19.61488917,19.61488917,3745800
2010/8/10,20.28436852,20.42095546,19.74955707,19.87460326,4401900
2010/8/11,19.37248993,20.09775678,19.35902278,19.97078643,4232100
2010/8/12,19.26283455,19.39365108,19.04929531,19.27437751,3461100
2010/8/13,19.14740562,19.41288706,19.0704533,19.0704533,3210600
2010/8/16,19.05890656,19.28783485,18.9704113,19.0223535,2661900
2010/8/17,19.52639008,19.68029252,19.18780471,19.27822198,2771100
2010/8/18,19.4975338,19.59564784,19.33016421,19.46290492,1636800
2010/8/19,18.93385887,19.46674573,18.86844953,19.29745421,3152700
2010/8/20,19.03005028,19.09930801,18.64721954,18.74917975,2906100
2010/8/23,18.94348526,19.17626202,18.93963687,19.16279707,2288700
2010/8/24,18.41252136,18.75110784,18.38174087,18.71840316,3237900
2010/8/25,18.59527588,18.67992275,18.07393081,18.30286022,3244200
2010/8/26,18.47023773,18.88000291,18.38366663,18.73379502,2944500
2010/8/27,18.9146347,18.9165589,18.29517636,18.54142034,2984100
2010/8/30,18.53564453,18.86653314,18.53179614,18.80882054,2492100
2010/8/31,18.5664196,18.68569535,18.27400611,18.44907025,2976600
2010/9/1,19.30708122,19.44174614,18.69531762,18.87230598,4650300
2010/9/2,19.44174767,19.52831656,19.28014843,19.31285312,2669100
2010/9/3,19.74570274,19.74955113,19.56486819,19.63219955,4498800
2010/9/7,19.44943237,19.67836285,19.32823466,19.53215504,2838600
2010/9/8,19.76301003,19.872667,19.47444275,19.55524123,2683800
2010/9/9,20.19778824,20.35553905,19.87074586,20.0477342,4493700
2010/9/10,20.00926018,20.23626657,19.86882488,20.22280161,3761400
2010/9/13,20.43056679,20.53637319,20.22664415,20.24588388,3069900
2010/9/14,20.40556145,20.66719673,20.2478106,20.3324575,2669100
